id,date,lat,lon,district,location,type,geology,trigger,label,source
ISRO-SKM-001,2020-07-10,27.3389,88.6065,East Sikkim,Ranipool NH-10,Debris Flow,Schist & Phyllite,Monsoon Cloudburst,1,ISRO_ATLAS
ISRO-SKM-002,2021-08-14,27.502,88.528,North Sikkim,Mangan-Dikchu Axis,Translational Slide,Granite Gneiss,Heavy Rain,1,ISRO_ATLAS
ISRO-SKM-003,2022-06-18,27.234,88.498,East Sikkim,Singtam Cut Slope,Rotational Slump,Disang Shale,Prolonged Downpour,1,ISRO_ATLAS
ISRO-SKM-004,2023-10-04,27.362,88.625,East Sikkim,Burtuk Highway Scarp,Rockfall / Debris,Quartzite & Schist,LHOF Flash Flood,1,ISRO_ATLAS
ISRO-SKM-005,2024-07-02,27.315,88.602,East Sikkim,Mile 9 Ranipool Choke,Mudslide,Colluvial Soil,High Intensity Rain,1,ISRO_ATLAS
ISRO-SKM-006,2020-09-22,27.345,88.618,East Sikkim,Tadong Valley Slope,Tension Crack Failure,Silty Phyllite,Monsoon Infiltration,1,ISRO_ATLAS
ISRO-SKM-007,2021-07-28,27.275,88.354,South Sikkim,Namchi-Jorethang Road,Roadbed Scour Slide,Sandstone Karst,Torrential Runoff,1,ISRO_ATLAS
ISRO-SKM-008,2022-08-05,27.291,88.242,West Sikkim,Pelling Hillside Escarpment,Debris Avalanche,Gneissic Schist,Saturated Creep,1,ISRO_ATLAS
ISRO-SKM-009,2023-06-29,27.585,88.648,North Sikkim,Chungthang Road Cutting,Massive Rockslide,Biotite Gneiss,Cloudburst,1,ISRO_ATLAS
ISRO-SKM-010,2024-06-12,27.185,88.512,East Sikkim,Rangpo Border Choke Point,Colluvial Mudflow,Shale Alluvium,Pre-monsoon Storm,1,ISRO_ATLAS
ISRO-SKM-011,2020-08-11,27.328,88.595,East Sikkim,Deorali Ridge Slip,Rotational Slump,Schistose Bedrock,Drainage Overflow,1,ISRO_ATLAS
ISRO-SKM-012,2021-09-02,27.412,88.532,North Sikkim,Phodong Monastery Axis,Debris Slide,Clayey Siltstone,Multi-Day Monsoon,1,ISRO_ATLAS
ISRO-SKM-013,2022-07-19,27.215,88.421,South Sikkim,Ravangla Ridge Road,Retaining Wall Failure,Phyllite,Hydrostatic Surcharge,1,ISRO_ATLAS
ISRO-SKM-014,2023-07-14,27.352,88.571,East Sikkim,Ranka Valley Toe Scour,Toe Erosion Slide,Colluvial Clay,River Swelling,1,ISRO_ATLAS
ISRO-SKM-015,2024-07-20,27.478,88.592,North Sikkim,Kabi Lungchok Cutting,Rockfall & Mudflow,Calc-Granulite,Heavy Monsoon,1,ISRO_ATLAS
ISRO-SKM-016,2021-06-25,27.332,88.611,East Sikkim,Ranipool Bridge East,Slope Failure,Mica Schist,Culvert Choke,1,ISRO_ATLAS
ISRO-SKM-017,2022-09-15,27.525,88.61,North Sikkim,Singhik Viewpoint Slope,Debris Flow,Higher Himalayan Gneiss,Continuous Rain,1,ISRO_ATLAS
ISRO-SKM-018,2023-08-22,27.255,88.525,East Sikkim,Majhitar Industrial Cut,Wedge Failure,Tertiary Shale,Pore Pressure Spike,1,ISRO_ATLAS
ISRO-SKM-019,2020-07-04,27.302,88.541,South Sikkim,Temi Tea Slope,Surface Creep,Loamy Sandstone,Rainfall Infiltration,1,ISRO_ATLAS
ISRO-SKM-020,2024-07-01,27.3392,88.607,East Sikkim,Ranipool Borehole-1 Axis,Active Mudslide,Schist & Phyllite,Cloudburst,1,ISRO_ATLAS
GLC_IND_002,2021-08-14,27.35,88.62,North Sikkim,Mangan district flash mudslide on hill road,Mudslide,Gneiss & Phyllite,Downpour,1,NASA_GLC
GLC_IND_003,2022-06-18,27.28,88.58,East Sikkim,Singtam debris flow scouring highway culvert,Complex,Gneiss & Phyllite,Continuous Rain,1,NASA_GLC
GLC_IND_004,2023-10-04,27.42,88.55,East Sikkim,Teesta river valley catastrophic slope collapse,Debris Flow,Gneiss & Phyllite,LHOF Flood,1,NASA_GLC
GLC_IND_005,2024-07-02,27.31,88.61,East Sikkim,Dikchu road rock detachment,Rockfall,Gneiss & Phyllite,Heavy Monsoon,1,NASA_GLC
